Store ID,IP Address
2611,10.15.11.1
2650,10.15.234.1
2663,10.15.233.1
2668,10.15.254.1
2673,10.15.31.1
2917,10.15.107.1
2918,10.15.32.1
2919,10.15.245.1
2921,10.11.175.1
5002,10.10.121.1
5003,10.12.28.1
5004,10.10.114.1
5005,10.11.73.1
5007,10.11.32.1
5008,10.12.29.1
5010,10.10.117.1
5011,10.12.30.1
5012,10.12.31.1
5014,10.10.116.1
5016,10.10.105.1
5017,10.12.32.1
5020,10.10.78.1
5022,10.10.112.1
5027,10.10.35.1
5031,10.12.35.1
5032,10.12.36.1
5035,10.12.38.1
5036,10.12.39.1
5039,10.10.43.1
5040,10.12.40.1
5043,10.10.88.1
5047,10.12.42.1
5051,10.10.86.1
5053,10.10.32.1
5054,10.10.37.1
5059,10.10.119.1
5060,10.12.44.1
5061,10.10.7.1
5062,10.10.67.1
5064,10.11.114.1
5067,10.10.113.1
5068,10.11.33.1
5069,10.11.34.1
5072,10.12.45.1
5073,10.11.74.1
5074,10.10.47.1
5076,10.10.69.1
5078,10.10.158.1
5081,10.12.48.1
5082,10.12.49.1
5084,10.12.50.1
5085,10.10.28.1
5086,10.12.51.1
5088,10.12.52.1
5089,10.11.111.1
5090,10.11.99.1
5091,10.10.194.1
5095,10.12.53.1
5096,10.12.54.1
5097,10.10.71.1
5099,10.10.115.1
5100,10.10.122.1
5101,10.12.55.1
5102,10.10.126.1
5103,10.10.40.1
5106,10.10.186.1
5107,10.12.56.1
5109,10.12.57.1
5110,10.12.58.1
5111,10.12.59.1
5115,10.11.147.1
5116,10.12.61.1
5117,10.11.75.1
5119,10.10.29.1
5122,10.12.63.1
5123,10.10.128.1
5125,10.12.64.1
5126,10.11.60.1
5127,10.10.206.1
5128,10.12.65.1
5131,10.12.67.1
5133,10.10.180.1
5135,10.12.68.1
5136,10.10.213.1
5137,10.12.69.1
5138,10.12.70.1
5139,10.10.66.1
5140,10.12.71.1
5145,10.12.73.1
5146,10.12.74.1
5148,10.12.76.1
5149,10.12.77.1
5152,10.10.24.1
5154,10.10.220.1
5156,10.10.23.1
5157,10.11.116.1
5158,10.11.115.1
5159,10.12.78.1
5160,10.12.79.1
5163,10.12.81.1
5164,10.10.19.1
5167,10.10.198.1
5168,10.10.193.1
5170,10.12.83.1
5172,10.10.167.1
5173,10.12.85.1
5174,10.10.80.1
5175,10.12.86.1
5177,10.12.87.1
5178,10.10.14.1
5181,10.10.195.1
5182,10.12.88.1
